"","Station","Grid.ID","LAT","LON","Gear.Sampled","Sta_Pri"
"84",122,"gz161",56.5268,-156.2781,"BONGO,CALVET,CTD","A"
"85",123,"hb161",56.412,-156.0578,"BONGO,CALVET,CTD","A"
"86",124,"hd161",56.2973,-155.8382,"BONGO,CALVET,CTD","A"
"87",125,"hf161",56.1825,-155.6192,"BONGO,CTD","A"
"88",126,"hf163",56.3034,-155.4126,"BONGO","B"
"89",127,"hd163",56.4182,-155.631,"BONGO,CALVET","B"
"90",128,"hb163",56.533,-155.85,"BONGO,CALVET","B"
"91",129,"gz163",56.6478,-156.0697,"BONGO,CALVET","B"
"92",130,"gx163",56.7626,-156.29,"BONGO,CALVET","B"
"93",131,"gv163",56.8774,-156.5111,"BONGO,CALVET","B"
"94",132,"gv165",56.9983,-156.3007,"BONGO,CALVET","A"
"95",133,"gx165",56.8835,-156.0803,"BONGO,CALVET","A"
"96",134,"gz165",56.7687,-155.8606,"BONGO,CALVET","A"
"97",135,"hb165",56.654,-155.6415,"BONGO,CALVET","A"
"98",136,"hd165",56.5392,-155.4231,"BONGO,CALVET","A"
"99",137,"hd167",56.6601,-155.2146,"BONGO,CALVET","A"
"100",138,"hb167",56.7749,-155.4324,"BONGO,CALVET","A"
"101",139,"gz167",56.8897,-155.6508,"BONGO,CALVET","A"
"102",140,"gx167",57.0045,-155.8698,"BONGO,CALVET","A"
"103",141,"gv167",57.1193,-156.0896,"BONGO,CALVET","A"
"104",142,"gt169",57.355,-156.0833,"BONGO","B"
"105",143,"gv169",57.2402,-155.8778,"BONGO","B"
"106",144,"gx169",57.1254,-155.6587,"BONGO","B"
"107",145,"gz169",57.0107,-155.4403,"BONGO","B"
"108",146,"hb169",56.8959,-155.2225,"BONGO","B"
"109",147,"hd169",56.7811,-155.0054,"BONGO","B"
"110",148,"hd171",56.902,-154.7956,"BONGO","A"
"111",149,"hb171",57.0168,-155.012,"BONGO","A"
"112",150,"gz171",57.1316,-155.2291,"BONGO","A"
"113",151,"gx171",57.2464,-155.4469,"BONGO","A"
"114",152,"gv171",57.3612,-155.6653,"BONGO","A"
"115",153,"gv173",57.4821,-155.4521,"BONGO","B"
"116",154,"gx173",57.3674,-155.2344,"BONGO","B"
"117",155,"gz173",57.2526,-155.0173,"BONGO","B"
"118",156,"hb173",57.1378,-154.8008,"BONGO","B"
"119",157,"gz175",57.3735,-154.8047,"BONGO","B"
"120",158,"gx175",57.4883,-155.0212,"BONGO","B"
"121",159,"gv175",57.6031,-155.2383,"BONGO","B"
"122",160,"FOX61",57.72,-155.26,"BONGO,CTD","A"
"123",161,"FOX60",57.68,-155.17,"BONGO,CTD","A"
"124",162,"FOX59",57.64,-155.07,"BONGO,CTD","A"
"125",163,"FOX58",57.61,-155.01,"BONGO,CTD","A"
"126",164,"FOX57",57.55,-154.88,"BONGO,CTD","A"
"127",165,"FOX56",57.52,-154.78,"BONGO,CTD","A"
"128",166,"gx177",57.6093,-154.8073,"BONGO","B"
"129",167,"gx179",57.7302,-154.5927,"BONGO","A"
"130",168,"gx181",57.8512,-154.3773,"BONGO","B"
"131",169,"gx183",57.9721,-154.1612,"BONGO","A"
"132",170,"gx185",58.0931,-153.9444,"BONGO","B"
"133",171,"gx187",58.2141,-153.7269,"BONGO","A"
"134",172,"gx189",58.335,-153.5086,"BONGO","B"
"135",173,"gx191",58.456,-153.2895,"BONGO","A"
"136",174,"gx193",58.5769,-153.0697,"BONGO","B"
"137",175,"gx195",58.6979,-152.8492,"BONGO","A"
"138",176,"gx197",58.8188,-152.6279,"BONGO","B"
"139",177,"gx199",58.9398,-152.4058,"BONGO","A"
"140",179,"gx201",59.0607,-152.1829,"BONGO","B"
"141",180,"gz203",59.0669,-151.7527,"BONGO","B"
"142",208,"hl201",58.2573,-150.7439,"BONGO","A"
"143",209,"hj201",58.372,-150.9479,"BONGO","A"
"144",210,"hh201",58.4868,-151.1523,"BONGO","A"
"145",211,"hf201",58.6016,-151.3573,"BONGO","A"
"146",212,"hd201",58.7164,-151.5629,"BONGO","A"
"147",213,"hb201",58.8312,-151.7689,"BONGO","A"
"148",216,"hd197",58.4745,-152.0034,"BONGO","A"
"149",218,"hf197",58.3597,-151.7964,"BONGO","A"
"150",220,"hh197",58.2449,-151.59,"BONGO","A"
"151",225,"hp197",57.7854,-150.76,"BONGO","A"
"152",226,"hn197",57.9006,-150.9741,"BONGO","A"
"153",227,"hl197",58.0153,-151.1788,"BONGO","A"
"154",228,"hj197",58.1301,-151.3841,"BONGO","A"
"155",234,"hp193",57.5455,-151.1857,"BONGO","A"
"156",235,"hn193",57.6586,-151.4047,"BONGO","A"
"157",236,"hl193",57.7734,-151.6108,"BONGO","A"
"158",237,"hj193",57.8882,-151.8175,"BONGO","A"
"159",238,"hh193",58.003,-152.0247,"BONGO","A"
"160",271,"Kodiak",57.78385,-152.4267,"BONGO","A"
